epoch,train_loss,val_roc_auc,val_pr_auc,epoch_time_sec,avg_time_per_bag,val_score
1,0.7985224739913522,0.8191336557326492,0.1506296354653374,161.6087987422943,0.2355813392744815,0.9697632911979865
2,0.6902690620753017,0.843575581204601,0.1998425069196723,105.37669205665588,0.1536103382750085,1.0434180881242732
3,0.6601243346276945,0.8520674348256878,0.2479447798274905,127.06351947784424,0.1852237893263035,1.1000122146531783
4,0.6482433207713775,0.8589163970892196,0.296812469219779,205.2570264339447,0.2992084933439427,1.1557288663089986
5,0.6348605483117765,0.8724381393578698,0.3202406486243799,239.3041059970856,0.3488398046604746,1.1926787879822498
6,0.6257430254107844,0.8708838312587354,0.3168236128362044,238.7604546546936,0.3480473099922647,1.1877074440949398
7,0.6098322551180847,0.8737298145000951,0.3316331821252066,235.26464247703552,0.3429513738732296,1.2053629966253017
8,0.6031878003238762,0.8734748915675299,0.3074135232894595,238.1116590499878,0.3471015438046469,1.1808884148569894
9,0.5947867691081806,0.874904034803378,0.3103608437924456,237.65919065475464,0.346441968884482,1.1852648785958235
10,0.5913639529343069,0.8766253387489421,0.3520535938578059,238.32869672775269,0.3474179252591147,1.228678932606748
11,0.5901129081736516,0.8653536112441682,0.3534754146794249,236.38599038124084,0.344585991809389,1.218829025923593
12,0.5846961220685583,0.8801901587280757,0.3525703537079643,225.01473593711853,0.3280098191503185,1.2327605124360401
13,0.5815427134941964,0.8718838378204581,0.3050353334711704,106.7282645702362,0.1555805605980119,1.1769191712916285
14,0.5855329107194052,0.8843324103176531,0.3404321734782517,251.4954824447632,0.3666114904442612,1.224764583795905
15,0.5766024456842103,0.876623616296695,0.3568771573824775,243.58881163597107,0.3550857312477712,1.2335007736791725
16,0.5747647252831146,0.882081165230743,0.3803047481602939,100.02834224700928,0.145813909981063,1.262385913391037
17,0.5717943376868311,0.8780981174417155,0.3244840034067313,92.20532202720642,0.1344100904186682,1.2025821208484468
18,0.5659184536359606,0.8747088235487109,0.3239164435817858,95.3288586139679,0.1389633507492243,1.1986252671304967
19,0.5644635018205991,0.8842065892820818,0.3514526195938204,91.0502381324768,0.1327262946537562,1.2356592088759022
20,0.5676297438840796,0.879981988070788,0.3854132039128176,90.9708490371704,0.1326105671095778,1.2653951919836055
21,0.563194002069696,0.878792183675746,0.3605518799229222,89.42935419082642,0.1303634900740909,1.239344063598668
22,0.5594222803620527,0.8793243393985526,0.3651350181768864,90.5492000579834,0.1319959184518708,1.244459357575439
23,0.5560006414016668,0.8830367981417201,0.3863342395941144,89.58184623718262,0.1305857816868551,1.2693710377358345
24,0.5552128214035591,0.8824526407653595,0.3735196270039113,89.15451073646545,0.1299628436391624,1.2559722677692706
25,0.5517414511120232,0.8888099659446584,0.3761113336123539,88.85529589653015,0.1295266704031051,1.2649212995570123
26,0.5519170083703786,0.8873591690234188,0.3710933863206748,89.60997033119202,0.1306267789084431,1.2584525553440935
27,0.5477861547122036,0.8863688410028937,0.3852023385090929,91.5315284729004,0.1334278840712833,1.2715711795119866
28,0.5430079261751941,0.8858959868503073,0.3881450235015117,89.4459958076477,0.1303877489907401,1.274041010351819
29,0.5422204780317571,0.8864515187107527,0.3867787171825638,89.604731798172,0.1306191425629329,1.2732302358933165
30,0.5402358197817837,0.8940676283965119,0.4011702029553271,91.43061304092409,0.1332807770275861,1.2952378313518391
31,0.5389230933067573,0.8911630817787518,0.3880031388327994,174.9399552345276,0.2550145120036845,1.2791662206115513
32,0.5383497785477742,0.893574432903103,0.4057131453128927,217.76462316513064,0.3174411416401321,1.2992875782159956
33,0.5385067944109004,0.884122763272725,0.3477826266195074,215.7253851890564,0.3144684915292367,1.2319053898922323
34,0.5386200743870143,0.8825612372784598,0.3782285561131321,208.316468000412,0.303668320700309,1.260789793391592
35,0.5341274860566549,0.8938757800248034,0.4161347437732151,219.1967647075653,0.3195288115270631,1.3100105237980184
36,0.5313766855828084,0.8954859447896639,0.3959530277592328,167.19362664222717,0.2437224878166576,1.2914389725488968
37,0.5309008725368194,0.8945709125387962,0.4000234993686464,221.0888648033142,0.3222869749319449,1.2945944119074426
38,0.5332402493396815,0.8939773226858444,0.3966894414887362,219.7858619689941,0.320387553890662,1.2906667641745806
39,0.5253576686782558,0.8867110348493101,0.402657439833475,209.84570932388303,0.3058975354575555,1.2893684746827851
40,0.5295670444512889,0.8962592438270593,0.3990017201732622,128.5337836742401,0.1873670315951022,1.2952609640003216
41,0.5247917843561103,0.8874766238623613,0.3884376841137738,90.42431998252869,0.131813877525552,1.275914307976135
42,0.5239428471909823,0.8993434996292626,0.4213042135791248,86.03785920143127,0.1254196198271593,1.3206477132083874
43,0.5266471869754095,0.8969368237324392,0.4132825820482012,86.46603298187256,0.126043779856957,1.3102194057806404
44,0.5224107787121821,0.8944499307738238,0.4135492687960801,84.2934365272522,0.1228767296315629,1.3079991995699038
45,0.5211213402504469,0.888360651972782,0.402839862643903,81.48265171051025,0.1187793756712977,1.291200514616685
46,0.5228630538404423,0.8916805556466906,0.3934892772862037,80.65514874458313,0.1175731031262144,1.2851698329328942
47,0.5208928394926725,0.8943977650771988,0.4034651800456673,81.89478898048401,0.1193801588636793,1.297862945122866
48,0.5174866424859875,0.891607064350816,0.3898205903735425,85.47491884231567,0.1245990070587692,1.2814276547243586
49,0.5188702220029204,0.8954760201838594,0.4150785060348989,84.03188371658325,0.1224954573128035,1.3105545262187583
50,0.515949508047452,0.8954451800864834,0.4260821697512104,81.73662900924683,0.1191496049697475,1.3215273498376938
